postcode,name,address
LE2 1XL,Spicy Flames,"188 Howard Road, Leicester"
LE2 1QL,Mar Haba Steak and Grill,"171 Evington Road, Leicester"
LE1 6SL,Peri Peri Original,"1a Belvoir Street, Leicestershire"
LE2 6DR,BOX4ME,"162 Knighton Fields Road East, Leicester"
LE2 6HS,Istanbul BBQ House,"94 Shackerdale Road, Leicester"
KW15 1AA,9Cookies Demo,"1 Test, Demo"
LE2 7QT,Tushba Pizza,"284 Aylestone Road, Leicester"
LE3 0BG,City Pizza,"8 Upperton Road, Leicester"
LE2 6UN,American Fried Chicken,"559 Saffron Lane, Leicester"
WD24 4PX,Drinks on the Run,"Unit 32D, Balmoral Storage Yard, Clive Way, Watford"
LE3 2XQ,Pizza Chef,"19 Watergate Lane, Braunstone"
LE2 6BL,Delight Express,"437 Welford Road, Leicester"
SG5 2NJ,Akash,"14 Redhill Road, Hitchin"
LE2 7QL,Expresso Pizza,"319a Aylestone Road, Aylestone Park"
SG4 9NR,Indian,"47 Nine Springs Way, Hitchin"
AL5 4SW,Paya,"4 Harding Parade, Station Road, Harpenden"
LU1 1HX,Mevlana Turkish BBQ and Sha...,"17 Crawley Road, Luton"
LU1 3UA,Lazy Lounge,"15 Windsor Street, Luton"
LU4 8BW,Al Badar,"237 Dunstable Road, Luton"
LU1 5LY,Mao Tai,"9 The Crossway, Luton"
LU2 7UG,Stopsley Surma,"610 Hitchin Road, Luton"
LU4 8FG,Arabella Restaurant and Shi...,"Rooftop Nadeem Plaza, 172 Dunstable Road, Luton"
LU1 2QT,Tasties Fish Plus,"10, Dunstable place, Luton"
LU3 2SZ,Southern Fried Chicken and ...,"48A Calverton Road, Luton"
LU3 3BJ,Pinar 2,"22 Sundon Park Parade, Sundon Park"
LU1 2HN,Real Kebab House,"55a Cheapside, Luton"
LU1 1EW,A1 Lahori Zaiqa Ltd,"130 Dunstable Road, Luton"
LU1 2NB,Cookies and Cream,"The Galaxy Centre Bridge Street, Luton"
LU3 2DQ,Ashiyana,"66 Birdsfoot Lane, Luton"
LU6 2JX,New York Diner,"Tring Road, Dunstable"
LU5 4RU,Paris Texas Gourmet Burger,"18a Church Street, Dunstable"
LU6 1JF,Turkish Delight,"57 High Street North, Dunstable"
LU3 1LW,Piccadilly Whippy Desserts,"271 New Bedford Road, Luton"
LU4 8HX,Marina BBQ,"146 Leagrave Road, Luton"
LU3 2AD,Chicken Hut,"3 Riddy Lane, Luton"
LU4 8JJ,Baguette Corner,"198 Dunstable Road, Bedfordshire"
LU3 2QL,Curry Master,"176a Marsh Road, Luton"
LU3 3BJ,Muncheese,"26 Sundon Park Parade, Luton"
LU5 4BB,Hot Rooster's,"1 Mayfield Road, Dunstable"
LU1 2QH,G's Gourmet Burgers,"13 Wellington Street, Luton"
LU1 1EW,ALA Deen Fastfood,"114 Dunstable Road, Luton"
LU6 1DA,Peri Peri Palace,"9 Houghton Parade, Houghton Road, Dunstable"
LU1 2SE,Charcoal Grill,"26 Chapel Street, Luton"
